Day,Casualties according to field reports,Combat engagements
24 Feb 2022,,
25 Feb 2022,,
26 Feb 2022,,
27 Feb 2022,,
28 Feb 2022,,
1 Mar 2022,,
2 Mar 2022,,
3 Mar 2022,,
4 Mar 2022,,
5 Mar 2022,,
6 Mar 2022,,
7 Mar 2022,,
8 Mar 2022,,
9 Mar 2022,,
10 Mar 2022,,
11 Mar 2022,,
12 Mar 2022,,
13 Mar 2022,,
14 Mar 2022,,
15 Mar 2022,,
16 Mar 2022,300,
17 Mar 2022,200,
18 Mar 2022,200,
19 Mar 2022,200,
20 Mar 2022,300,
21 Mar 2022,300,
22 Mar 2022,300,
23 Mar 2022,300,
24 Mar 2022,200,
25 Mar 2022,300,
26 Mar 2022,300,
27 Mar 2022,200,
28 Mar 2022,400,
29 Mar 2022,200,
30 Mar 2022,100,
31 Mar 2022,200,
1 Apr 2022,200,
2 Apr 2022,100,
3 Apr 2022,200,
4 Apr 2022,300,
5 Apr 2022,200,
6 Apr 2022,100,
7 Apr 2022,300,
8 Apr 2022,100,
9 Apr 2022,100,
10 Apr 2022,200,
11 Apr 2022,200,
12 Apr 2022,100,
13 Apr 2022,200,
14 Apr 2022,100,
15 Apr 2022,100,
16 Apr 2022,100,
17 Apr 2022,200,
18 Apr 2022,300,
19 Apr 2022,200,
20 Apr 2022,100,
21 Apr 2022,100,
22 Apr 2022,200,
23 Apr 2022,400,
24 Apr 2022,200,
25 Apr 2022,100,
26 Apr 2022,200,
27 Apr 2022,300,
28 Apr 2022,400,
29 Apr 2022,200,
30 Apr 2022,200,
1 May 2022,300,
2 May 2022,300,
3 May 2022,400,
4 May 2022,300,
5 May 2022,200,
6 May 2022,200,
7 May 2022,200,
8 May 2022,400,
9 May 2022,150,
10 May 2022,350,
11 May 2022,350,
12 May 2022,300,
13 May 2022,250,
14 May 2022,300,
15 May 2022,200,
16 May 2022,300,
17 May 2022,200,
18 May 2022,400,
19 May 2022,200,
20 May 2022,200,
21 May 2022,150,
22 May 2022,200,
23 May 2022,150,
24 May 2022,150,
25 May 2022,100,
26 May 2022,150,
27 May 2022,150,
28 May 2022,250,
29 May 2022,150,
30 May 2022,200,
31 May 2022,150,
1 Jun 2022,200,
2 Jun 2022,150,
3 Jun 2022,100,
4 Jun 2022,100,
5 Jun 2022,100,
6 Jun 2022,100,
7 Jun 2022,110,
8 Jun 2022,140,
9 Jun 2022,200,
10 Jun 2022,200,
11 Jun 2022,150,
12 Jun 2022,100,
13 Jun 2022,150,
14 Jun 2022,200,
15 Jun 2022,250,
16 Jun 2022,200,
17 Jun 2022,200,
18 Jun 2022,200,
19 Jun 2022,250,
20 Jun 2022,200,
21 Jun 2022,300,
22 Jun 2022,130,
23 Jun 2022,200,
24 Jun 2022,100,
25 Jun 2022,170,
26 Jun 2022,150,
27 Jun 2022,150,
28 Jun 2022,250,
29 Jun 2022,200,
30 Jun 2022,150,
1 Jul 2022,150,
2 Jul 2022,120,
3 Jul 2022,100,
4 Jul 2022,230,
5 Jul 2022,150,
6 Jul 2022,150,
7 Jul 2022,150,
8 Jul 2022,250,
9 Jul 2022,300,
10 Jul 2022,100,
11 Jul 2022,100,
12 Jul 2022,70,
13 Jul 2022,100,
14 Jul 2022,300,
15 Jul 2022,130,
16 Jul 2022,140,
17 Jul 2022,160,
18 Jul 2022,150,
19 Jul 2022,100,
20 Jul 2022,200,
21 Jul 2022,100,
22 Jul 2022,150,
23 Jul 2022,240,
24 Jul 2022,280,
25 Jul 2022,180,
26 Jul 2022,170,
27 Jul 2022,200,
28 Jul 2022,160,
29 Jul 2022,270,
30 Jul 2022,170,
31 Jul 2022,160,
1 Aug 2022,200,
2 Aug 2022,140,
3 Aug 2022,180,
4 Aug 2022,150,
5 Aug 2022,150,
6 Aug 2022,250,
7 Aug 2022,300,
8 Aug 2022,140,
9 Aug 2022,300,
10 Aug 2022,160,
11 Aug 2022,200,
12 Aug 2022,200,
13 Aug 2022,200,
14 Aug 2022,150,
15 Aug 2022,200,
16 Aug 2022,150,
17 Aug 2022,200,
18 Aug 2022,200,
19 Aug 2022,400,
20 Aug 2022,200,
21 Aug 2022,300,
22 Aug 2022,200,
23 Aug 2022,150,
24 Aug 2022,150,
25 Aug 2022,150,
26 Aug 2022,400,
27 Aug 2022,250,
28 Aug 2022,250,
29 Aug 2022,350,
30 Aug 2022,450,
31 Aug 2022,350,
1 Sept 2022,450,
2 Sept 2022,350,
3 Sept 2022,350,
4 Sept 2022,450,
5 Sept 2022,300,
6 Sept 2022,350,
7 Sept 2022,460,
8 Sept 2022,640,
9 Sept 2022,650,
10 Sept 2022,350,
11 Sept 2022,400,
12 Sept 2022,300,
13 Sept 2022,350,
14 Sept 2022,350,
15 Sept 2022,200,
16 Sept 2022,200,
17 Sept 2022,200,
18 Sept 2022,230,
19 Sept 2022,170,
20 Sept 2022,160,
21 Sept 2022,300,
22 Sept 2022,400,
23 Sept 2022,550,
24 Sept 2022,240,
25 Sept 2022,400,
26 Sept 2022,500,
27 Sept 2022,550,
28 Sept 2022,400,
29 Sept 2022,430,
30 Sept 2022,500,
1 Oct 2022,530,
2 Oct 2022,500,
3 Oct 2022,320,
4 Oct 2022,370,
5 Oct 2022,200,
6 Oct 2022,330,
7 Oct 2022,350,
8 Oct 2022,380,
9 Oct 2022,440,
10 Oct 2022,370,
11 Oct 2022,240,
12 Oct 2022,270,
13 Oct 2022,420,
14 Oct 2022,500,
15 Oct 2022,400,
16 Oct 2022,300,
17 Oct 2022,320,
18 Oct 2022,530,
19 Oct 2022,430,
20 Oct 2022,370,
21 Oct 2022,100,
22 Oct 2022,320,
