Date,Special equipment,Special equipment (7-day average)
24 Feb 2022,,
25 Feb 2022,,
26 Feb 2022,,
27 Feb 2022,,
28 Feb 2022,,
1 Mar 2022,,
2 Mar 2022,,
3 Mar 2022,,
4 Mar 2022,,
5 Mar 2022,,
6 Mar 2022,,
7 Mar 2022,,
8 Mar 2022,,
9 Mar 2022,,
10 Mar 2022,,
11 Mar 2022,,
12 Mar 2022,,
13 Mar 2022,,
14 Mar 2022,,
15 Mar 2022,,
16 Mar 2022,4,4
17 Mar 2022,0,2
18 Mar 2022,1,1.6666666666666667
19 Mar 2022,0,1.25
20 Mar 2022,1,1.2
21 Mar 2022,1,1.1666666666666667
22 Mar 2022,2,1.2857142857142858
23 Mar 2022,0,0.7142857142857143
24 Mar 2022,1,0.8571428571428571
25 Mar 2022,2,1
26 Mar 2022,1,1.1428571428571428
27 Mar 2022,2,1.2857142857142858
28 Mar 2022,0,1.1428571428571428
29 Mar 2022,0,0.8571428571428571
30 Mar 2022,0,0.8571428571428571
31 Mar 2022,1,0.8571428571428571
1 Apr 2022,2,0.8571428571428571
2 Apr 2022,0,0.7142857142857143
3 Apr 2022,0,0.42857142857142855
4 Apr 2022,1,0.5714285714285714
5 Apr 2022,0,0.5714285714285714
6 Apr 2022,0,0.5714285714285714
7 Apr 2022,0,0.42857142857142855
8 Apr 2022,0,0.14285714285714285
9 Apr 2022,0,0.14285714285714285
10 Apr 2022,0,0.14285714285714285
11 Apr 2022,0,0
12 Apr 2022,0,0
13 Apr 2022,0,0
14 Apr 2022,0,0
15 Apr 2022,0,0
16 Apr 2022,1,0.14285714285714285
17 Apr 2022,1,0.2857142857142857
18 Apr 2022,0,0.2857142857142857
19 Apr 2022,0,0.2857142857142857
20 Apr 2022,0,0.2857142857142857
21 Apr 2022,0,0.2857142857142857
22 Apr 2022,0,0.2857142857142857
23 Apr 2022,0,0.14285714285714285
24 Apr 2022,1,0.14285714285714285
25 Apr 2022,0,0.14285714285714285
26 Apr 2022,3,0.5714285714285714
27 Apr 2022,0,0.5714285714285714
28 Apr 2022,0,0.5714285714285714
29 Apr 2022,0,0.5714285714285714
30 Apr 2022,1,0.7142857142857143
1 May 2022,0,0.5714285714285714
2 May 2022,6,1.4285714285714286
3 May 2022,0,1
4 May 2022,0,1
5 May 2022,0,1
6 May 2022,0,1
7 May 2022,0,0.8571428571428571
8 May 2022,1,1
9 May 2022,2,0.42857142857142855
10 May 2022,0,0.42857142857142855
11 May 2022,0,0.42857142857142855
12 May 2022,0,0.42857142857142855
13 May 2022,0,0.42857142857142855
14 May 2022,1,0.5714285714285714
15 May 2022,0,0.42857142857142855
16 May 2022,0,0.14285714285714285
17 May 2022,1,0.2857142857142857
18 May 2022,0,0.2857142857142857
19 May 2022,0,0.2857142857142857
20 May 2022,0,0.2857142857142857
21 May 2022,0,0.14285714285714285
22 May 2022,0,0.14285714285714285
23 May 2022,0,0.14285714285714285
24 May 2022,0,0
25 May 2022,1,0.14285714285714285
26 May 2022,3,0.5714285714285714
27 May 2022,1,0.7142857142857143
28 May 2022,0,0.7142857142857143
29 May 2022,0,0.7142857142857143
30 May 2022,0,0.7142857142857143
31 May 2022,0,0.7142857142857143
1 Jun 2022,1,0.7142857142857143
2 Jun 2022,2,0.5714285714285714
3 Jun 2022,0,0.42857142857142855
4 Jun 2022,1,0.5714285714285714
5 Jun 2022,1,0.7142857142857143
6 Jun 2022,0,0.7142857142857143
7 Jun 2022,0,0.7142857142857143
8 Jun 2022,0,0.5714285714285714
9 Jun 2022,0,0.2857142857142857
10 Jun 2022,1,0.42857142857142855
11 Jun 2022,0,0.2857142857142857
12 Jun 2022,0,0.14285714285714285
13 Jun 2022,0,0.14285714285714285
14 Jun 2022,0,0.14285714285714285
15 Jun 2022,1,0.2857142857142857
16 Jun 2022,0,0.2857142857142857
17 Jun 2022,0,0.14285714285714285
18 Jun 2022,0,0.14285714285714285
19 Jun 2022,0,0.14285714285714285
20 Jun 2022,0,0.14285714285714285
21 Jun 2022,4,0.7142857142857143
22 Jun 2022,1,0.7142857142857143
23 Jun 2022,0,0.7142857142857143
24 Jun 2022,0,0.7142857142857143
25 Jun 2022,0,0.7142857142857143
26 Jun 2022,0,0.7142857142857143
27 Jun 2022,0,0.7142857142857143
28 Jun 2022,1,0.2857142857142857
29 Jun 2022,0,0.14285714285714285
30 Jun 2022,0,0.14285714285714285
1 Jul 2022,0,0.14285714285714285
2 Jul 2022,0,0.14285714285714285
3 Jul 2022,3,0.5714285714285714
4 Jul 2022,1,0.7142857142857143
5 Jul 2022,0,0.5714285714285714
6 Jul 2022,0,0.5714285714285714
7 Jul 2022,1,0.7142857142857143
8 Jul 2022,0,0.7142857142857143
9 Jul 2022,0,0.7142857142857143
10 Jul 2022,0,0.2857142857142857
11 Jul 2022,0,0.14285714285714285
12 Jul 2022,0,0.14285714285714285
13 Jul 2022,1,0.2857142857142857
14 Jul 2022,0,0.14285714285714285
15 Jul 2022,0,0.14285714285714285
16 Jul 2022,1,0.2857142857142857
17 Jul 2022,0,0.2857142857142857
18 Jul 2022,2,0.5714285714285714
19 Jul 2022,0,0.5714285714285714
20 Jul 2022,0,0.42857142857142855
21 Jul 2022,2,0.7142857142857143
22 Jul 2022,0,0.7142857142857143
23 Jul 2022,0,0.5714285714285714
24 Jul 2022,1,0.7142857142857143
25 Jul 2022,0,0.42857142857142855
26 Jul 2022,2,0.7142857142857143
27 Jul 2022,0,0.7142857142857143
28 Jul 2022,0,0.42857142857142855
29 Jul 2022,2,0.7142857142857143
30 Jul 2022,1,0.8571428571428571
31 Jul 2022,2,1
