Day,Vehicles,Vehicles (7-day average)
24 Feb 2022,,
25 Feb 2022,,
26 Feb 2022,,
27 Feb 2022,,
28 Feb 2022,,
1 Mar 2022,,
2 Mar 2022,,
3 Mar 2022,,
4 Mar 2022,,
5 Mar 2022,,
6 Mar 2022,38,
7 Mar 2022,7,
8 Mar 2022,20,
9 Mar 2022,8,
10 Mar 2022,44,
11 Mar 2022,32,
12 Mar 2022,27,25.142857142857142
13 Mar 2022,15,21.857142857142858
14 Mar 2022,17,23.285714285714285
15 Mar 2022,23,23.714285714285715
16 Mar 2022,179,48.142857142857146
17 Mar 2022,45,48.285714285714285
18 Mar 2022,15,45.857142857142854
19 Mar 2022,35,47
20 Mar 2022,33,49.57142857142857
21 Mar 2022,22,50.285714285714285
22 Mar 2022,31,51.42857142857143
23 Mar 2022,8,27
24 Mar 2022,25,24.142857142857142
25 Mar 2022,56,30
26 Mar 2022,42,31
27 Mar 2022,13,28.142857142857142
28 Mar 2022,6,25.857142857142858
29 Mar 2022,28,25.428571428571427
30 Mar 2022,6,25.142857142857142
31 Mar 2022,17,24
1 Apr 2022,19,18.714285714285715
2 Apr 2022,16,15
3 Apr 2022,13,15
4 Apr 2022,24,17.571428571428573
5 Apr 2022,49,20.571428571428573
6 Apr 2022,2,20
7 Apr 2022,34,22.428571428571427
8 Apr 2022,3,20.142857142857142
9 Apr 2022,2,18.142857142857142
10 Apr 2022,21,19.285714285714285
11 Apr 2022,3,16.285714285714285
12 Apr 2022,19,12
13 Apr 2022,23,15
14 Apr 2022,8,11.285714285714286
15 Apr 2022,6,11.714285714285714
16 Apr 2022,15,13.571428571428571
17 Apr 2022,13,12.428571428571429
18 Apr 2022,16,14.285714285714286
19 Apr 2022,8,12.714285714285714
20 Apr 2022,9,10.714285714285714
21 Apr 2022,4,10.142857142857142
22 Apr 2022,15,11.428571428571429
23 Apr 2022,20,12.142857142857142
24 Apr 2022,14,12.285714285714286
25 Apr 2022,9,11.285714285714286
26 Apr 2022,77,21.142857142857142
27 Apr 2022,23,23.142857142857142
28 Apr 2022,22,25.714285714285715
29 Apr 2022,7,24.571428571428573
30 Apr 2022,6,22.571428571428573
1 May 2022,95,34.142857142857146
2 May 2022,28,36.857142857142854
3 May 2022,19,28.571428571428573
4 May 2022,24,28.714285714285715
5 May 2022,40,31.285714285714285
6 May 2022,19,33
7 May 2022,8,33.285714285714285
8 May 2022,27,23.571428571428573
9 May 2022,9,20.857142857142858
10 May 2022,10,19.571428571428573
11 May 2022,17,18.571428571428573
12 May 2022,22,16
13 May 2022,23,16.571428571428573
14 May 2022,17,17.857142857142858
15 May 2022,28,18
16 May 2022,14,18.714285714285715
17 May 2022,8,18.428571428571427
18 May 2022,28,20
19 May 2022,20,19.714285714285715
20 May 2022,5,17.142857142857142
21 May 2022,16,17
22 May 2022,16,15.285714285714286
23 May 2022,12,15
24 May 2022,7,14.857142857142858
25 May 2022,5,11.571428571428571
26 May 2022,7,9.714285714285714
27 May 2022,1,9.142857142857142
28 May 2022,0,6.857142857142857
29 May 2022,14,6.571428571428571
30 May 2022,18,7.428571428571429
31 May 2022,17,8.857142857142858
1 Jun 2022,15,10.285714285714286
2 Jun 2022,35,14.285714285714286
3 Jun 2022,4,14.714285714285714
4 Jun 2022,8,15.857142857142858
5 Jun 2022,23,17.142857142857142
6 Jun 2022,35,19.571428571428573
7 Jun 2022,10,18.571428571428573
8 Jun 2022,1,16.571428571428573
9 Jun 2022,15,13.714285714285714
10 Jun 2022,17,15.571428571428571
11 Jun 2022,10,15.857142857142858
12 Jun 2022,7,13.571428571428571
13 Jun 2022,5,9.285714285714286
14 Jun 2022,13,9.714285714285714
15 Jun 2022,12,11.285714285714286
16 Jun 2022,9,10.428571428571429
17 Jun 2022,2,8.285714285714286
18 Jun 2022,17,9.285714285714286
19 Jun 2022,10,9.714285714285714
20 Jun 2022,4,9.571428571428571
21 Jun 2022,10,9.142857142857142
22 Jun 2022,6,8.285714285714286
23 Jun 2022,5,7.714285714285714
24 Jun 2022,5,8.142857142857142
25 Jun 2022,7,6.714285714285714
26 Jun 2022,4,5.857142857142857
27 Jun 2022,11,6.857142857142857
28 Jun 2022,14,7.428571428571429
29 Jun 2022,9,7.857142857142857
30 Jun 2022,4,7.714285714285714
1 Jul 2022,8,8.142857142857142
2 Jul 2022,4,7.714285714285714
3 Jul 2022,4,7.714285714285714
4 Jul 2022,11,7.714285714285714
5 Jul 2022,5,6.428571428571429
6 Jul 2022,14,7.142857142857143
7 Jul 2022,17,9
8 Jul 2022,20,10.714285714285714
9 Jul 2022,2,10.428571428571429
10 Jul 2022,7,10.857142857142858
11 Jul 2022,2,9.571428571428571
12 Jul 2022,3,9.285714285714286
13 Jul 2022,5,8
14 Jul 2022,16,7.857142857142857
15 Jul 2022,11,6.571428571428571
16 Jul 2022,4,6.857142857142857
17 Jul 2022,11,7.428571428571429
18 Jul 2022,7,8.142857142857142
19 Jul 2022,14,9.714285714285714
20 Jul 2022,8,10.142857142857142
21 Jul 2022,6,8.714285714285714
22 Jul 2022,22,10.285714285714286
23 Jul 2022,17,12.142857142857142
24 Jul 2022,3,11
25 Jul 2022,9,11.285714285714286
26 Jul 2022,3,9.714285714285714
27 Jul 2022,12,10.285714285714286
28 Jul 2022,7,10.428571428571429
29 Jul 2022,16,9.571428571428571
30 Jul 2022,19,9.857142857142858
31 Jul 2022,13,11.285714285714286
1 Aug 2022,10,11.428571428571429
2 Aug 2022,2,11.285714285714286
3 Aug 2022,8,10.714285714285714
4 Aug 2022,38,15.142857142857142
5 Aug 2022,4,13.428571428571429
6 Aug 2022,6,11.571428571428571
